,Corporeality,Sliminess,Intellect,Hostility,Grotesqueness,Exorcist Hired,Cost of Exorcism (sp)
0,45,31,13,46,31,Phantom Pummelers,2255
1,80,58,46,79,75,Phantom Pummelers,2761
2,41,16,31,30,55,Phantom Pummelers,1394
3,92,73,83,79,76,Spectre Slayers,5764
4,43,33,23,31,30,Entity Eliminators,2283
5,56,58,76,52,75,Mundanifying Mystics,3960
6,49,33,8,38,36,Spectre Slayers,1092
7,76,69,82,48,67,Wraith Wranglers,4769
8,45,40,10,16,26,Mundanifying Mystics,4603
9,14,11,29,36,18,Mundanifying Mystics,3719
10,31,14,13,21,56,Phantom Pummelers,2316
11,46,42,24,22,55,Phantom Pummelers,2193
12,26,62,12,25,53,Phantom Pummelers,3886
13,44,25,34,46,11,Phantom Pummelers,1825
14,32,15,20,33,63,Demon Destroyers,4071
15,58,67,57,77,60,Spectre Slayers,3260
16,69,66,68,77,83,Demon Destroyers,4565
17,44,32,63,30,21,Mundanifying Mystics,4044
18,76,75,67,83,59,Phantom Pummelers,4706
19,24,46,25,14,45,Entity Eliminators,914
20,48,64,48,86,77,Mundanifying Mystics,2719
21,64,65,29,81,74,Demon Destroyers,3854
22,87,67,89,77,67,Demon Destroyers,5305
23,32,31,32,28,18,Phantom Pummelers,2341
24,68,73,52,75,59,Demon Destroyers,3445
25,54,42,56,71,70,Spectre Slayers,4108
26,66,39,81,86,83,Wraith Wranglers,5448
27,40,49,10,82,28,Demon Destroyers,2589
28,27,16,20,19,38,Wraith Wranglers,2480
29,35,21,24,38,24,Demon Destroyers,2793
30,29,18,32,19,24,Wraith Wranglers,3319
31,77,79,79,83,72,Mundanifying Mystics,3210
32,27,14,47,21,46,Mundanifying Mystics,3365
33,39,31,15,26,39,Mundanifying Mystics,2702
34,30,39,71,28,65,Mundanifying Mystics,3233
35,37,52,23,58,47,Demon Destroyers,3716
36,49,53,33,47,27,Wraith Wranglers,2383
37,45,31,68,45,71,Phantom Pummelers,2788
38,29,32,26,14,26,Demon Destroyers,2272
39,32,26,7,29,24,Wraith Wranglers,1709
40,29,29,24,37,40,Demon Destroyers,2829
41,21,65,25,8,63,Entity Eliminators,3969
42,64,48,93,66,76,Wraith Wranglers,4645
43,37,31,10,17,20,Mundanifying Mystics,2936
44,59,45,5,10,32,Wraith Wranglers,2916
45,63,73,78,41,43,Mundanifying Mystics,2205
46,34,30,13,16,24,Phantom Pummelers,2017
47,39,56,66,86,35,Phantom Pummelers,3070
48,45,69,57,67,68,Demon Destroyers,5227
49,43,32,12,25,43,Mundanifying Mystics,3514
50,68,58,39,76,56,Phantom Pummelers,5378
51,57,76,46,72,76,Mundanifying Mystics,2842
52,40,24,14,31,29,Spectre Slayers,1520
53,12,11,23,30,28,Entity Eliminators,1733
54,63,77,72,96,69,Entity Eliminators,5092
55,35,30,24,31,50,Phantom Pummelers,3279
56,40,66,47,76,59,Entity Eliminators,2688
57,14,26,11,15,33,Mundanifying Mystics,4784
58,34,30,14,13,39,Demon Destroyers,2131
59,72,70,52,50,64,Demon Destroyers,4228
60,67,72,29,64,72,Demon Destroyers,4532
61,39,14,2,11,27,Mundanifying Mystics,3517
62,52,18,30,14,21,Mundanifying Mystics,3201
63,53,23,20,38,38,Entity Eliminators,1986
64,81,72,37,77,74,Demon Destroyers,3881
65,27,13,28,14,18,Demon Destroyers,1219
66,58,31,10,46,34,Wraith Wranglers,4023
67,26,27,24,34,20,Wraith Wranglers,2060
68,77,85,84,87,65,Spectre Slayers,5680
69,21,56,61,59,33,Mundanifying Mystics,3056
70,36,23,49,18,53,Mundanifying Mystics,3488
71,82,45,89,49,50,Entity Eliminators,5531
72,65,75,81,74,60,Demon Destroyers,4034
73,80,75,20,20,50,Demon Destroyers,2390
74,20,16,21,52,25,Phantom Pummelers,2856
75,53,38,4,42,24,Phantom Pummelers,2922
76,41,15,17,32,50,Entity Eliminators,1718
77,72,75,48,90,69,Mundanifying Mystics,1768
78,52,57,87,76,90,Mundanifying Mystics,2716
79,76,65,28,16,43,Entity Eliminators,2891
80,82,87,82,69,67,Mundanifying Mystics,2750
81,86,68,79,37,50,Phantom Pummelers,5074
82,40,63,65,68,70,Demon Destroyers,6346
83,72,41,50,86,73,Entity Eliminators,5438
84,87,79,54,73,89,Spectre Slayers,2485
85,16,13,34,33,52,Phantom Pummelers,1701
86,61,51,47,48,52,Spectre Slayers,4135
87,27,24,32,30,67,Wraith Wranglers,3478
88,58,40,5,31,39,Entity Eliminators,1941
89,72,22,79,8,54,Demon Destroyers,2519
90,57,74,26,78,84,Demon Destroyers,4635
91,68,78,74,55,82,Wraith Wranglers,4425
92,35,18,10,38,15,Demon Destroyers,2533
93,54,67,49,90,65,Wraith Wranglers,4333
94,37,18,30,23,28,Mundanifying Mystics,4254
95,13,8,9,10,21,Mundanifying Mystics,4798
96,60,27,56,23,56,Phantom Pummelers,2483
97,55,64,81,81,78,Phantom Pummelers,4107
98,67,44,28,29,68,Entity Eliminators,3869
99,73,59,72,77,79,Phantom Pummelers,3795
100,62,67,98,77,32,Spectre Slayers,7583
101,69,31,84,75,69,Demon Destroyers,4352
102,71,75,72,77,57,Wraith Wranglers,5633
103,47,32,44,25,27,Spectre Slayers,3289
104,44,31,36,73,30,Demon Destroyers,2912
105,74,65,80,67,68,Wraith Wranglers,3034
106,66,70,40,82,83,Mundanifying Mystics,4893
107,63,54,75,72,74,Entity Eliminators,4900
108,39,60,90,57,56,Phantom Pummelers,4683
109,35,26,14,23,30,Mundanifying Mystics,3318
110,21,8,10,33,59,Phantom Pummelers,853
111,61,56,80,82,64,Demon Destroyers,4126
112,75,59,81,78,77,Demon Destroyers,5488
113,68,48,69,17,18,Demon Destroyers,1840
114,44,59,61,52,80,Demon Destroyers,3815
115,55,83,82,82,71,Entity Eliminators,3258
116,48,57,17,95,54,Wraith Wranglers,8360
117,45,62,57,86,75,Spectre Slayers,4653
118,69,67,51,39,78,Demon Destroyers,4922
119,58,57,60,70,59,Wraith Wranglers,4836
120,54,27,21,28,38,Demon Destroyers,2483
121,23,19,44,51,20,Wraith Wranglers,2909
122,21,60,29,32,16,Mundanifying Mystics,5157
123,50,33,13,31,29,Phantom Pummelers,1776
124,34,33,64,64,72,Phantom Pummelers,2968
125,57,52,6,10,47,Demon Destroyers,2603
126,49,49,84,55,72,Entity Eliminators,3982
127,25,22,13,10,28,Entity Eliminators,2995
128,69,71,69,82,74,Phantom Pummelers,5343
129,66,70,82,75,67,Phantom Pummelers,4882
130,72,51,62,52,72,Wraith Wranglers,4523
131,16,20,24,41,17,Spectre Slayers,2246
132,36,49,47,31,57,Demon Destroyers,3591
133,34,25,10,13,12,Phantom Pummelers,2315
134,15,12,30,21,18,Demon Destroyers,1234
135,73,78,74,61,81,Demon Destroyers,5191
136,67,72,79,75,54,Demon Destroyers,4109
137,18,34,8,34,30,Mundanifying Mystics,3301
138,14,21,46,6,43,Mundanifying Mystics,3413
139,76,61,72,80,67,Mundanifying Mystics,3546
140,36,20,29,36,72,Entity Eliminators,3520
141,37,18,39,55,14,Phantom Pummelers,1335
142,61,54,27,50,71,Mundanifying Mystics,2729
143,59,31,60,62,43,Mundanifying Mystics,2255
144,12,27,14,16,14,Mundanifying Mystics,2615
145,5,22,12,15,33,Phantom Pummelers,2702
146,51,76,90,73,33,Phantom Pummelers,3721
147,60,64,74,87,67,Demon Destroyers,5274
148,27,37,12,19,18,Phantom Pummelers,1703
149,34,23,37,17,22,Mundanifying Mystics,2149
150,76,80,59,83,45,Wraith Wranglers,4502
151,49,38,33,46,25,Mundanifying Mystics,2151
152,71,74,83,50,84,Spectre Slayers,5243
153,83,81,36,91,73,Spectre Slayers,2792
154,52,77,23,69,23,Spectre Slayers,3363
155,43,37,21,21,18,Mundanifying Mystics,3012
156,65,72,82,81,62,Demon Destroyers,4003
157,47,22,40,51,26,Phantom Pummelers,1880
158,53,23,20,24,15,Mundanifying Mystics,3693
159,67,59,69,62,73,Entity Eliminators,3728
160,20,10,3,28,35,Mundanifying Mystics,3181
161,86,32,38,62,35,Wraith Wranglers,5276
162,13,14,15,45,33,Demon Destroyers,3336
163,48,72,53,51,84,Mundanifying Mystics,2706
164,38,51,16,16,72,Demon Destroyers,3171
165,65,58,76,83,37,Entity Eliminators,3319
166,71,61,63,86,71,Entity Eliminators,6165
